2023-05-18 16:05:145 INFO  HomePage :92 - Enter Min salary[[ChromeDriver: chrome on WINDOWS (56180eb86ca0b3f942572a802489bb46)] -> id: salarymin]
2023-05-18 16:05:383 INFO  HomePage :98 - Enter Max salary[[ChromeDriver: chrome on WINDOWS (56180eb86ca0b3f942572a802489bb46)] -> id: salarymax]
2023-05-18 16:05:480 INFO  HomePage :104 - Select salary Type[[ChromeDriver: chrome on WINDOWS (56180eb86ca0b3f942572a802489bb46)] -> id: salarytype]
2023-05-18 16:05:577 INFO  HomePage :110 - Select Job Type[[ChromeDriver: chrome on WINDOWS (56180eb86ca0b3f942572a802489bb46)] -> id: keywords]
2023-05-18 16:05:685 INFO  HomePage :116 - Click on Find Jobs Button[[ChromeDriver: chrome on WINDOWS (56180eb86ca0b3f942572a802489bb46)] -> id: hp-search-btn]
2023-05-18 16:05:345 INFO  ResultPage :29 - Verify the results[[ChromeDriver: chrome on WINDOWS (56180eb86ca0b3f942572a802489bb46)] -> xpath: //h1[@class ='search-header__title']]
2023-05-18 16:05:143 INFO  HomePage :67 - Clicking on Job TitleTest Manager
2023-05-18 16:05:388 INFO  HomePage :73 - Enter locationLondon
2023-05-18 16:05:502 INFO  HomePage :80 - Select Distance10 miles
2023-05-18 16:05:705 INFO  HomePage :86 - Clicking on More search option Link[[ChromeDriver: chrome on WINDOWS (de19b82b9585a9f12e3dca5cb7d4034a)] -> id: toggle-hp-search]
2023-05-18 16:05:857 INFO  HomePage :92 - Enter Min salary[[ChromeDriver: chrome on WINDOWS (de19b82b9585a9f12e3dca5cb7d4034a)] -> id: salarymin]
2023-05-18 16:05:139 INFO  HomePage :98 - Enter Max salary[[ChromeDriver: chrome on WINDOWS (de19b82b9585a9f12e3dca5cb7d4034a)] -> id: salarymax]
2023-05-18 16:05:240 INFO  HomePage :104 - Select salary Type[[ChromeDriver: chrome on WINDOWS (de19b82b9585a9f12e3dca5cb7d4034a)] -> id: salarytype]
2023-05-18 16:05:358 INFO  HomePage :110 - Select Job Type[[ChromeDriver: chrome on WINDOWS (de19b82b9585a9f12e3dca5cb7d4034a)] -> id: keywords]
2023-05-18 16:05:482 INFO  HomePage :116 - Click on Find Jobs Button[[ChromeDriver: chrome on WINDOWS (de19b82b9585a9f12e3dca5cb7d4034a)] -> id: hp-search-btn]
2023-05-18 16:05:246 INFO  ResultPage :29 - Verify the results[[ChromeDriver: chrome on WINDOWS (de19b82b9585a9f12e3dca5cb7d4034a)] -> xpath: //h1[@class ='search-header__title']]
2023-05-18 16:05:969 INFO  HomePage :67 - Clicking on Job TitleDevelopment Manager
2023-05-18 16:05:234 INFO  HomePage :73 - Enter locationLondon
2023-05-18 16:05:348 INFO  HomePage :80 - Select Distance15 miles
2023-05-18 16:05:431 INFO  HomePage :86 - Clicking on More search option Link[[ChromeDriver: chrome on WINDOWS (4cc923cee78dac25477eb0f1b9ca4616)] -> id: toggle-hp-search]
2023-05-18 16:05:576 INFO  HomePage :92 - Enter Min salary[[ChromeDriver: chrome on WINDOWS (4cc923cee78dac25477eb0f1b9ca4616)] -> id: salarymin]
2023-05-18 16:05:796 INFO  HomePage :98 - Enter Max salary[[ChromeDriver: chrome on WINDOWS (4cc923cee78dac25477eb0f1b9ca4616)] -> id: salarymax]
2023-05-18 16:05:890 INFO  HomePage :104 - Select salary Type[[ChromeDriver: chrome on WINDOWS (4cc923cee78dac25477eb0f1b9ca4616)] -> id: salarytype]
2023-05-18 16:05:00 INFO  HomePage :110 - Select Job Type[[ChromeDriver: chrome on WINDOWS (4cc923cee78dac25477eb0f1b9ca4616)] -> id: keywords]
2023-05-18 16:05:129 INFO  HomePage :116 - Click on Find Jobs Button[[ChromeDriver: chrome on WINDOWS (4cc923cee78dac25477eb0f1b9ca4616)] -> id: hp-search-btn]
2023-05-18 16:05:281 INFO  ResultPage :29 - Verify the results[[ChromeDriver: chrome on WINDOWS (4cc923cee78dac25477eb0f1b9ca4616)] -> xpath: //h1[@class ='search-header__title']]
